Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
95,Stephen Curry\curryst01,PG,28,GSW,58,1940,23.9,.626,.550,.259,2.2,11.4,7.1,28.9,2.5,0.4,12.8,29.2,,6.2,2.8,9.0,.222,,7.1,-0.7,6.4,4.1
96,Troy Daniels\danietr01,SG,25,MEM,45,775,12.2,.551,.705,.139,1.8,6.9,4.3,6.7,1.2,0.2,7.1,22.1,,0.8,0.6,1.4,.085,,1.3,-3.3,-2.0,0.0
97,Anthony Davis\davisan02,C,23,NOP,56,2031,27.5,.576,.082,.424,6.6,28.0,17.2,11.8,1.7,5.5,9.6,33.0,,4.1,3.8,7.9,.186,,1.3,2.3,3.6,2.9
98,Deyonta Davis\davisde01,C,20,MEM,26,187,11.1,.527,.000,.436,10.0,21.9,15.8,1.7,0.3,7.7,14.7,13.2,,0.1,0.3,0.4,.096,,-5.9,2.2,-3.7,-0.1
99,Ed Davis\davised01,PF,27,POR,46,789,11.4,.563,.000,.570,13.3,20.9,17.0,4.8,0.9,2.3,17.2,11.9,,1.0,0.6,1.6,.096,,-2.3,0.1,-2.2,0.0
100,Dewayne Dedmon\dedmode01,C,27,SAS,52,909,17.7,.657,.000,.373,11.2,31.5,21.6,5.4,1.7,4.1,14.7,12.5,,1.9,2.1,4.0,.213,,-0.7,3.7,3.0,1.1
101,Sam Dekker\dekkesa01,SF,22,HOU,61,1191,13.9,.558,.440,.154,7.7,13.7,10.7,7.9,1.4,1.4,8.4,15.7,,1.8,1.1,2.8,.115,,0.2,-0.6,-0.4,0.5
102,Malcolm Delaney\delanma01,PG,27,ATL,59,1048,8.2,.464,.274,.229,1.1,9.7,5.4,23.4,1.6,0.1,17.8,18.8,,-0.8,1.0,0.2,.010,,-4.2,-1.2,-5.5,-0.9
103,Matthew Dellavedova\dellama01,PG,26,MIL,53,1409,9.4,.483,.398,.196,1.4,7.3,4.4,27.2,1.5,0.0,19.4,15.8,,0.1,0.6,0.7,.023,,-2.0,-2.9,-4.9,-1.0
104,Luol Deng\denglu01,SF,31,LAL,56,1486,10.1,.469,.386,.148,4.4,17.4,10.7,7.2,1.6,1.1,8.7,14.2,,0.1,0.8,0.9,.030,,-2.3,-0.1,-2.4,-0.1
